name,price ($),weight (kg),length (m),width (m),height (m),shipment date,port of loading,Vessel,Dwell after shipping,Customer,Called for inspection
Pallete of Orange Juice,210.44,591.77,1.02,0.88,1.5,24/06/2022,Port of Shanghai (China),LINDA,47,11,Y
Big Bag with Metal Scraps,195.6,1727.34,1.85,1.14,0.12,12/11/2022,Port of Tokyo (Japan),AURORA,88,8,N
Coffee Maker,96.32,1.08,0.23,0.22,0.27,09/06/2022,Port of Shanghai (China),HANA,15,14,Y
Pallete of Musical Instruments,885.97,1603.18,1.03,0.9,0.52,08/12/2022,Port of Tianjin (China),HANA,73,6,N
Tomatoes (Canned),1003.67,79.86,0.4,0.3,0.3,25/12/2022,Port of Tianjin (China),HANA,65,6,N
Dining Table,1453.79,45.85,2.5,0.84,1.43,19/07/2022,Port of Busan (South Korea),SERENA,1,8,N
Garden Hose,23.25,2.28,22.1,0.27,0.19,13/09/2022,Port of Tokyo (Japan),AURORA,2,11,N
Hair Dryer,94.68,1.26,0.38,0.18,0.17,24/08/2022,Port of Busan (South Korea),SAKURA,5,20,N
MDF Boards,19.88,7.26,1.83,0.99,0.07,06/03/2022,Port of Shanghai (China),LINDA,9,2,N
Box of Chocolate Bar,49.69,1.5,0.6,0.33,0.16,24/07/2022,Port of Tokyo (Japan),SERENA,49,11,N
Loaf of Bread,4.71,0.44,0.26,0.11,0.12,02/10/2022,Port of Tokyo (Japan),SERENA,32,2,N
Pallete of Cement,268.55,1130.76,1.04,1.05,1.29,25/11/2022,Port of Tianjin (China),HANA,84,10,N
Large Flat Rate Box,33.14,0.81,1.1,0.52,0.36,22/03/2022,Port of Tianjin (China),LINDA,15,13,Y
Box of Clothes,112.29,7.68,0.53,0.69,0.5,17/05/2022,Port of Shanghai (China),LINDA,74,4,N
Pallete of Wine Bottles,368.7,976.44,1.45,0.86,0.28,08/12/2022,Port of Singapore (Singapore),HANA,59,11,N
